TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED,YEAR
UC Santa Barbara,BW,27,6,92,106.2,0.1597,42.1,52.5,18.3,17.6,30.8,29.6,28.8,32.3,41.7,53.2,28.5,34.4,,-16.2,NA,NA,2017
Cal Poly,BW,29,9,96.3,113.6,0.1296,46.6,53.2,17.4,16.3,24.7,29.6,26.7,34.6,41.5,49.8,35.8,40.1,,-16.8,NA,NA,2018
Cal St. Northridge,BW,28,6,97.3,113.2,0.1498,47.7,52.6,18.3,16.4,23.3,32.7,28.3,32.8,45.9,51.7,34.7,36.3,,-19.3,NA,NA,2018
Hawaii,BW,28,17,99.1,101.4,0.4328,50.1,49.9,19.5,19.9,26.3,24.5,40.8,38.7,50.9,50.1,32.5,33.1,,-8.5,NA,NA,2018
Long Beach St.,BW,31,15,104.6,107.5,0.4208,49.6,53.7,20.7,18.7,32.2,30.4,40.3,28.6,48.4,52.5,35.1,37.5,,-10.2,NA,NA,2018
UC Davis,BW,31,,103.2,100.8,0.5691,52,49.4,18.6,21.9,24.4,29.1,38.5,36.5,50.7,49.2,36.6,33,,-4.4,NA,NA,2018
UC Irvine,BW,33,18,99.4,97.3,0.5585,48.1,45,20.5,14.8,32.3,24.8,28.2,41.2,47.5,42.9,33,32.8,,-9.1,NA,NA,2018
UC Riverside,BW,29,9,92.8,103.5,0.2216,45.1,49.1,20,19.3,26.8,31.8,32.4,38.2,44.1,48.5,31.3,33.3,,-16.2,NA,NA,2018
UC Santa Barbara,BW,30,23,110.2,106.2,0.6045,53,49.9,14.9,16.6,28.7,27,32,29.5,50.5,48.9,38.3,34.4,,-3.9,NA,NA,2018
Cal Poly,BW,27,6,97.1,114.9,0.1262,47.2,52.6,17,15.6,26.1,31.4,25.8,38.1,46.6,51.5,32,36.5,,-18.6,NA,NA,2019
Cal St. Fullerton,BW,32,16,97,102.2,0.354,49.1,48.3,19.1,16.8,24.5,27,38.5,35.7,50.3,48.5,30.8,32,,-9.7,NA,NA,2019
Cal St. Northridge,BW,33,13,103.3,111.4,0.2967,51.5,51.6,16.7,17.1,28.4,32.5,31.8,32.2,50.3,48.2,36.1,38.4,,-14.7,NA,NA,2019
Hawaii,BW,29,18,102.4,106,0.4013,52.3,50.8,17.6,17.4,26.9,24.7,31.2,32.9,52.2,50.3,35,34.5,,-8.6,NA,NA,2019
Long Beach St.,BW,32,15,99.9,105.3,0.3533,47.6,51.1,19,18.9,28.9,33,40.8,30.2,46.3,51.6,33.8,33.5,,-11.8,NA,NA,2019
UC Davis,BW,29,11,95.3,102.6,0.301,49,52.8,19.9,21.1,22.1,27.7,29.7,37.7,49,53.3,32.7,34.6,,-14,NA,NA,2019
UC Riverside,BW,30,10,96.9,111.8,0.1613,51.2,54.4,20.3,16,25.1,26.5,22.7,33.4,47.2,53.7,38,37.2,,-18.2,NA,NA,2019
UC Santa Barbara,BW,30,22,103.2,105.7,0.4295,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,,-6,NA,NA,2019
College of Charleston,CAA,33,9,93.7,102.7,0.2577,46,48.1,19.3,18.4,27.5,32.2,32.4,47.4,43.2,45.4,34.3,35.8,,-17.1,NA,NA,2015
Delaware,CAA,30,10,99.1,107.3,0.2855,47.1,50,18.4,15.6,28.8,31.5,38.1,33.2,44.5,46.7,34.5,37,,-14,NA,NA,2015
Drexel,CAA,29,11,98.2,104.1,0.3396,45,50.1,17,18.5,27.5,31.2,33.1,35.7,42.6,49,33,35.1,,-12.5,NA,NA,2015
Elon,CAA,31,13,96.2,105.2,0.2641,47.5,51.3,19,21.2,27.9,31.9,37.6,44.1,45.1,50.6,34.5,35,,-12.6,NA,NA,2015
Hofstra,CAA,34,20,108.7,104.6,0.6094,52.3,49.5,16,19.6,32.7,28.4,39.8,38.7,50.9,48.8,36.2,33.9,,-8.3,NA,NA,2015
James Madison,CAA,33,19,103.1,107.6,0.3805,51.9,50.2,20.3,17.9,29,31.9,42.2,31.9,49.7,48.2,37.2,35.7,,-7.2,NA,NA,2015
Towson,CAA,31,11,98.8,107,0.2842,44.6,47.6,21.5,14.9,41.1,29.5,48.3,45,44.4,45.7,30.1,34.2,,-14.5,NA,NA,2015
UNC Wilmington,CAA,31,17,100.5,99.7,0.5208,47.5,47.9,18,20.4,31,32.4,37.5,47.4,46.3,46.9,34,33.5,,-6.8,NA,NA,2015
William & Mary,CAA,31,18,111.2,106.9,0.6105,56.3,50.5,17.5,17.6,24.2,29.9,35.5,31.9,54.8,49.1,38.9,35.3,,-5.5,NA,NA,2015
College of Charleston,CAA,30,16,96.4,93.3,0.5922,47.4,48.1,19.5,21.6,30.4,26.9,32.8,43.1,45.6,48.2,34,32,,-7.3,NA,NA,2016
Delaware,CAA,30,7,100.5,109.9,0.2635,45.3,51.8,17.7,13.5,29.6,28,42.2,31.9,43.7,51.4,32.5,34.8,,-15.3,NA,NA,2016
Drexel,CAA,30,6,98.8,105.7,0.3161,44.3,52.5,16.8,18.1,27.7,28.8,36.9,47.4,42.3,51.5,32.7,36.5,,-16.4,NA,NA,2016
Elon,CAA,30,14,105,105.2,0.4927,51.8,50.3,17.7,15.8,27.2,29.8,30.4,33.4,52.5,49.1,33.9,35.3,,-8.5,NA,NA,2016
Hofstra,CAA,33,23,110.1,102.9,0.6855,51.4,49.9,16.7,16.4,31.9,30,39.5,24,50.1,48.3,35.6,35.3,,-1.6,NA,NA,2016
James Madison,CAA,31,20,106,98.7,0.6935,51.6,45.5,17.2,15.4,29.5,27,37,37,50.9,47.3,35,28.7,,-4.3,NA,NA,2016
Northeastern,CAA,32,17,106.2,102.3,0.6055,51.7,51.7,18.2,17.2,25.9,28.8,38.7,27.9,48.5,52,37.2,33.9,,-7,NA,NA,2016
Towson,CAA,31,18,104.5,103.2,0.5364,46.9,48.4,17.9,17.7,38.3,27.3,45.1,41,46.3,46.2,32.1,35.2,,-6.2,NA,NA,2016
William & Mary,CAA,29,18,112.4,103.6,0.7192,54.9,49.5,15.9,15.3,25.8,27.2,36.6,27.9,54.8,49.4,36.7,33.1,,-3.8,NA,NA,2016
College of Charleston,CAA,34,25,104.6,99.5,0.6418,49.4,48,15.9,18.6,25.4,28.9,42.7,31.9,49.1,48.9,33.2,31.1,,-2,NA,NA,2017
Delaware,CAA,31,13,97.5,107.2,0.2504,46.8,53.2,17.9,15.2,27.1,27.5,32.2,40,47.8,51.6,30,37,,-13.7,NA,NA,2017
Drexel,CAA,31,9,101.9,108.8,0.3184,49.9,53.1,18.5,17.4,30.4,30.5,31.6,39.9,48.5,52.6,34.9,36,,-17.3,NA,NA,2017
Elon,CAA,30,18,102.9,101.4,0.5416,52.1,48.6,16.6,14.9,24.2,26.7,30.7,26.4,50.9,48.8,35.7,32.2,,-7.8,NA,NA,2017
Hofstra,CAA,31,15,109.4,111.8,0.4368,51.7,53.1,15.2,15.4,31.1,29.6,37.7,29.3,49.6,52,36.4,36.9,,-11.1,NA,NA,2017
James Madison,CAA,32,10,98.4,103.4,0.3606,50.2,51.1,21.4,17.6,29.1,25.5,36.1,38.5,50.3,50.6,33.3,34.6,,-17.1,NA,NA,2017
Northeastern,CAA,31,15,105.2,106.5,0.4654,53.5,52.1,18.5,17,25.7,27,37.8,31,52.4,50.7,36.7,36.4,,-8.9,NA,NA,2017
Towson,CAA,32,20,104.3,100.6,0.6034,48.3,49,18.7,18.7,37,26.1,45.6,47.1,49.2,47.4,30.6,34.3,,-6.6,NA,NA,2017
William & Mary,CAA,29,17,111.5,108.7,0.5703,56.2,52.3,17.4,14.5,25.6,27.4,38.7,35.1,55.8,51,37.8,36.1,,-6.8,NA,NA,2017
Delaware,CAA,31,14,101.8,108,0.3351,50.3,52.9,15.8,14.9,26,26.2,34.4,29.6,50.7,51.2,32.9,37,,-13.8,NA,NA,2018
Drexel,CAA,32,13,102.3,110.2,0.2981,49.6,52.2,17.3,15.6,30.8,30.7,31.8,30.6,50.2,51.1,32.2,36.3,,-14.5,NA,NA,2018
Elon,CAA,30,14,102.6,110.7,0.2943,52.3,52.5,16.7,14.2,21.7,28.9,24,23.6,52.5,50,34.7,37.1,,-12,NA,NA,2018
Hofstra,CAA,30,19,110,109.4,0.5169,53.2,54.2,15.6,16.3,30.6,27.5,36.5,32.5,51.6,54.3,37.3,36,,-6.1,NA,NA,2018
James Madison,CAA,31,10,100.7,106.4,0.3462,48,52.8,16.5,18.5,28.9,28.2,34.1,42,46.7,50.9,33.5,37.2,,-16.5,NA,NA,2018
Northeastern,CAA,32,23,106.1,99.8,0.6709,56.9,49.4,19.8,17.9,25.3,25.6,35.1,33,57.6,51.1,37.3,30,,-4,NA,NA,2018
Towson,CAA,30,18,104,105.5,0.4584,51.6,50.6,18.2,18.7,34.3,27.4,35.4,39.3,51.1,49.4,35.3,35,,-9.1,NA,NA,2018
UNC Wilmington,CAA,30,11,104.3,110.6,0.3369,48.9,56.6,17.3,15.6,33.8,25.5,31.1,36.9,47.4,54.8,34.5,39.6,,-14.9,NA,NA,2018
William & Mary,CAA,29,19,114,114.8,0.4815,59.5,56.8,17.2,14.4,21.2,25.4,33.4,32.4,56.6,57.2,42.2,37.4,,-6.2,NA,NA,2018
College of Charleston,CAA,32,24,106.8,103.1,0.601,54.2,52.1,15.6,19.1,25.6,25.9,33.5,26.4,56.3,53.7,33.7,33.3,,-3.1,NA,NA,2019
Delaware,CAA,31,17,103.4,112.1,0.2821,53.3,52.8,17.2,14.9,24.2,28.8,31.2,28.6,50.9,49.9,37.8,38.4,,-11.1,NA,NA,2019
Drexel,CAA,31,13,103.1,112.9,0.2602,51.3,55.6,16.6,14.6,29.2,26.3,30.6,30.3,50.9,54.7,34.7,38.2,,-13.6,NA,NA,2019
Elon,CAA,30,11,99.2,110,0.2335,52,53.6,18.4,15.2,22.4,28.3,24.3,29.4,52.2,51.5,34.6,37.8,,-16.3,NA,NA,2019
Hofstra,CAA,34,27,114.7,108.6,0.6533,55.9,52.1,13.8,18.3,26.8,29.9,37.7,25,54.5,51.5,38.7,35.3,,-1.9,NA,NA,2019
James Madison,CAA,31,14,100,110.1,0.2487,50.2,52.9,18.8,16.4,30.1,29.4,33.4,34,47.5,52.6,36.6,35.7,,-14.1,NA,NA,2019
Towson,CAA,31,10,99.6,109.6,0.2501,47.9,52.1,18.8,15.2,35.2,27.3,28.1,33,47.6,50.8,32.6,35.7,,-16.9,NA,NA,2019
UNC Wilmington,CAA,32,10,103.8,113,0.2734,50.5,56,18.5,14.5,31.7,26.7,32.8,31.9,49.3,54.4,35,38.8,,-16.7,NA,NA,2019
William & Mary,CAA,30,14,102.3,107,0.3733,54.4,52.7,18.3,15.6,24.5,26,31.3,30,55.8,51.1,35,36.9,,-11.1,NA,NA,2019
Charlotte,CUSA,32,14,106.2,106.4,0.4954,51.7,50.6,19.6,18.4,33.7,31.3,36.9,33.1,49.8,48.3,37.6,36.5,,-10.2,NA,NA,2015
FIU,CUSA,31,14,94,102.6,0.2669,48.2,48,22.6,19.2,29,31.9,37.4,36.6,48.6,46.4,31.3,33.7,,-11.5,NA,NA,2015
Florida Atlantic,CUSA,27,7,97,108,0.2239,48.2,49.9,19.5,16.7,26,31.5,27.8,37.6,45.6,51.3,34.9,29.9,,-15,NA,NA,2015
Louisiana Tech,CUSA,35,26,105.7,98.1,0.7016,50.7,46.9,15.6,22.4,29,35.4,33.7,31.3,51.4,45.5,32.9,33.6,,-1.7,NA,NA,2015
Marshall,CUSA,30,9,94.8,102,0.301,46.2,48.6,21.6,18.6,28.2,32.5,34.9,36.6,45.9,49.1,31.1,31.7,,-14.7,NA,NA,2015
Middle Tennessee,CUSA,35,18,100.7,100.5,0.5048,47.9,49.9,20.3,20.3,31.6,26.1,36.8,42.2,44.2,48,36.3,35.7,,-8.8,NA,NA,2015
North Texas,CUSA,29,12,98.6,103,0.3773,46.9,49.3,20.1,20.4,31.1,33.1,40,38.2,47.8,48.1,29.9,34.2,,-10.8,NA,NA,2015
Old Dominion,CUSA,35,27,104.3,94.4,0.7584,48.6,46.1,17.5,21,36,26.9,30.6,40.8,48.4,45.7,32.5,31.2,,-1.3,NA,NA,2015
Rice,CUSA,29,10,100.4,103.8,0.4048,51.7,49.9,22.1,19.6,26.5,32.2,33.7,40.1,47.6,49,37.3,34.5,,-13.2,NA,NA,2015
Southern Miss,CUSA,27,7,94.1,108.4,0.1635,48.9,53.5,22.2,20.1,26.6,34.2,34.1,31.9,48.8,53.1,32.8,36,,-13.8,NA,NA,2015
UTEP,CUSA,33,22,104.7,97.8,0.6851,52,46.9,18.8,18.7,29.1,29.8,43.8,31.9,50.9,45.2,36.6,33.6,,-3.7,NA,NA,2015
UTSA,CUSA,28,12,104.2,108.7,0.3809,47.9,52.9,18.2,20.3,35.2,31.3,42.1,29.7,47.3,51.5,32.7,36.7,,-11.3,NA,NA,2015
Western Kentucky,CUSA,30,18,101.6,102,0.4873,49.6,48.6,18.9,18.9,30.4,29.2,38.7,34.1,47.2,48.1,35.6,33.1,,-5.5,NA,NA,2015
Charlotte,CUSA,33,14,103.4,108.2,0.3726,51,54.8,16.4,18.3,29.7,27.7,33.2,30.9,47.7,52.7,38.2,39.3,,-12.7,NA,NA,2016
FIU,CUSA,30,11,102.2,107.3,0.3646,52,48.1,19.3,14.2,30.8,29.4,35.6,35.7,50.7,47.1,36.8,33.1,,-14.6,NA,NA,2016
Florida Atlantic,CUSA,31,7,95,107.9,0.1885,46.7,50,17.6,16.6,23.1,32.9,32.3,37.7,44.2,49,34.1,35.4,,-17.3,NA,NA,2016
Louisiana Tech,CUSA,31,21,102.7,102.8,0.4979,51.3,49.2,16.9,19,28.8,29,43,34.1,52,49.7,33.3,32,,-4.3,NA,NA,2016
Marshall,CUSA,33,17,109.8,107.3,0.564,54.2,52.3,16.4,17.1,26.6,30.9,31.2,35.9,57.2,50.7,33.7,37.4,,-8.7,NA,NA,2016
North Texas,CUSA,30,10,100.5,111.4,0.2333,49.3,53.3,19.5,17.2,30.3,31.2,44.1,42.5,49.8,52.7,32.2,36.2,,-14.7,NA,NA,2016
Old Dominion,CUSA,38,25,105.5,97.9,0.7012,47.9,45.5,14.4,17.2,36.6,27.1,31,35.8,48.7,44.4,30.1,31.5,,-6.5,NA,NA,2016
Rice,CUSA,30,10,104.7,115.6,0.2413,51.2,56.2,17.9,18.4,26.7,32.2,41.5,36.7,53.4,52.7,31.9,41.8,,-14.8,NA,NA,2016
Southern Miss,CUSA,27,7,94.6,109.5,0.1566,49.4,51.6,20.3,17.7,23.3,29.4,36.1,38.9,45.2,50.2,35.9,35.5,,-15.9,NA,NA,2016
UAB,CUSA,32,25,108.1,103.8,0.6163,53.6,48.6,17.8,18,32.4,30.4,33.4,29.8,52.6,48.1,37,33.1,,-1,NA,NA,2016
UTEP,CUSA,32,18,102.9,106.2,0.4097,52.4,49.5,17.1,19.2,24.5,31.7,40.9,36.6,51.3,48.3,36.5,34.2,,-9.7,NA,NA,2016
UTSA,CUSA,30,4,96.9,116,0.1125,47,59,18.1,17.2,26,27.8,37.4,46.2,46.5,57.2,32.1,41.3,,-20.4,NA,NA,2016
Western Kentucky,CUSA,32,16,108.1,107.8,0.509,52.5,52.4,19,15,33.6,28.6,39.6,30,51.5,50.4,36.3,37.3,,-9.5,NA,NA,2016
Charlotte,CUSA,29,13,101.6,107.5,0.3434,50.5,52.3,16.1,18.3,20.3,31,34,35.6,47.5,51.7,37.5,35.8,,-10.6,NA,NA,2017
FIU,CUSA,29,7,102.5,111.8,0.2684,49.7,53.2,19.2,16.8,29.8,28,28.5,36.7,50.2,52.6,32.4,36.3,,-18.9,NA,NA,2017
Florida Atlantic,CUSA,28,10,97.7,107.5,0.2501,46,51,16.6,17.7,26.9,31.2,30.4,35.9,45.5,49.2,31.4,37,,-14.6,NA,NA,2017
Louisiana Tech,CUSA,31,23,106.4,99.8,0.6767,53.4,48,17.7,19.4,29.2,26.2,34.6,26.9,52,45.8,37.1,34.7,,-4.8,NA,NA,2017
Marshall,CUSA,34,20,109.5,108.6,0.5247,53.6,51.5,15.9,16.8,24.4,32.8,37.1,31,51.8,51.3,37.4,34.6,,-7.4,NA,NA,2017
North Texas,CUSA,28,8,95.9,109.6,0.1772,47.4,50.4,18.4,17.8,26.5,31.2,34.9,35,47.3,49.6,31.7,34.6,,-17.6,NA,NA,2017
Old Dominion,CUSA,31,19,99.7,96.3,0.5996,45.6,46.4,17.5,20.1,35.5,25.6,34.1,38.6,44.5,44,32.4,33.6,,-5.7,NA,NA,2017
Rice,CUSA,33,23,106.3,107.4,0.4701,53.9,50,19.4,17.4,28.6,26.2,41.5,35.7,50.9,49.7,38.9,33.9,,-6.2,NA,NA,2017
Southern Miss,CUSA,29,9,92.4,109.2,0.1278,45,52.2,18.1,16.6,22.3,25.8,29.3,33.9,45.4,49.4,29.6,37.4,,-16.7,NA,NA,2017
UAB,CUSA,32,17,103.1,105.1,0.4449,51.3,49.8,20,17.3,30,28.1,37.7,29.4,51.3,48.8,34.1,34.2,,-9.4,NA,NA,2017
UTEP,CUSA,31,15,100.1,102.2,0.4419,51.8,49.5,19,17.5,22.2,25,36.3,39.1,51.9,48.5,34.3,34,,-11.6,NA,NA,2017
UTSA,CUSA,31,14,94.7,102.3,0.2925,42.6,49.7,18.1,17.6,32.4,24.2,36.2,37.9,43.7,48.4,26.7,34.8,,-13.3,NA,NA,2017
Western Kentucky,CUSA,32,15,102.5,107.8,0.3572,50.1,52.3,18,15.8,27.3,26.7,37.2,24.7,48.5,50.4,35.4,36.8,,-11,NA,NA,2017
Charlotte,CUSA,28,6,98.7,113,0.1727,48.3,54.7,20.6,17.6,26.2,28.8,38.9,31.7,46.5,54.2,34.6,37.1,,-16.9,NA,NA,2018
FIU,CUSA,29,14,98.6,102.4,0.3927,47.1,50.6,15.6,19.8,25.9,27.4,36.5,34.8,47.2,50.6,31.3,33.7,,-13,NA,NA,2018
Florida Atlantic,CUSA,28,12,95.5,102,0.3187,43.9,49.2,18.2,16.6,28.5,27.5,29,32.6,42.3,49.1,31.9,32.9,,-12.7,NA,NA,2018
Louisiana Tech,CUSA,31,17,106.2,104.3,0.5516,50.9,50.6,17.9,18.2,27.4,29,36.5,32.1,48.2,48.6,36.7,36.4,,-9,NA,NA,2018
Middle Tennessee,CUSA,32,25,110.3,96.8,0.8186,53.1,49.2,18.6,19.1,30.7,22.3,30.1,40.8,51.9,50.4,37.1,31.5,,0.8,NA,NA,2018
North Texas,CUSA,36,20,105.5,102.8,0.5741,51.2,48.6,18.7,17.3,30.2,25.7,33.6,38.8,50,49.1,35.4,31.9,,-10.2,NA,NA,2018
Old Dominion,CUSA,32,25,107.5,95.7,0.791,50.7,47.7,15.5,21.6,32.3,26.2,33,30.3,49.3,45.6,35.7,33.8,,-0.9,NA,NA,2018
Rice,CUSA,29,7,98.9,108.4,0.2585,48,52.6,20.7,16.5,27.6,28.4,35.2,28.5,48,51.7,32.1,36,,-17.4,NA,NA,2018
Southern Miss,CUSA,30,16,104.7,107.9,0.4139,50.3,56,14.6,19.8,20.5,29,28.3,32.9,49.8,55.1,34.1,38.1,,-9.9,NA,NA,2018
UAB,CUSA,31,20,108,102.5,0.6448,54.7,50.6,19,17.6,30.9,25,28.3,26.8,55.9,49.1,34.8,35,,-6.1,NA,NA,2018
UTEP,CUSA,30,11,96.8,103,0.3286,49.3,50.6,17.8,17.4,19,27,30.9,36.4,49,48.8,33.1,35.3,,-13.7,NA,NA,2018
UTSA,CUSA,32,20,104,103.2,0.523,51.1,49.4,17.1,16.3,26.5,27.3,29.6,41.6,49.3,47.8,35.5,34.7,,-7.1,NA,NA,2018
Western Kentucky,CUSA,37,27,113.8,100.7,0.8039,54.2,49.4,16.6,17.9,29,29.3,40,23.9,54.6,46.7,35.4,36,,-1.2,NA,NA,2018
Charlotte,CUSA,29,8,95,107.7,0.1916,48.1,51.3,22,17.9,22.3,26.4,36.3,32.6,49.2,49.9,31.1,35.5,,-15.4,NA,NA,2019
FIU,CUSA,30,20,101.4,105.1,0.3994,48.9,53.1,17.7,23.4,25.7,34.4,37.9,35.4,52.2,53.6,29.3,34.8,,-7.9,NA,NA,2019
Florida Atlantic,CUSA,30,17,98.4,98.3,0.5042,47.9,48.2,20.7,18.1,29,25.4,28.6,31.4,47,48.7,32.6,31.6,,-9,NA,NA,2019
Louisiana Tech,CUSA,31,20,103.3,102.1,0.5326,49.8,49.3,17,19.2,29.4,28.8,35.9,30.2,49.3,49.1,33.7,33,,-7,NA,NA,2019
Marshall,CUSA,37,23,105.5,106,0.486,51.9,52,15.9,20.8,22.9,32.3,30.5,32.4,52.3,51.4,34.2,35.5,,-6.4,NA,NA,2019
Middle Tennessee,CUSA,30,11,96.8,103.8,0.3091,46.7,50.8,22.8,17.5,32.3,28.1,29.6,34.2,45.7,50.5,32.3,34.1,,-13.3,NA,NA,2019
North Texas,CUSA,30,21,97.4,97.6,0.4944,49.2,47.4,20.1,19.8,30.7,24.4,27.7,37.7,50.5,46.4,31.7,32.8,,-7.1,NA,NA,2019
Rice,CUSA,30,13,101.3,109.1,0.2984,50.1,51.6,18.9,14.9,26.6,24.4,38.5,30.6,48.1,51.5,35.3,34.5,,-13,NA,NA,2019
Southern Miss,CUSA,29,20,106.8,101.2,0.649,53.1,49.1,15.7,19.4,22.9,28.1,24.1,29.8,49.9,47.1,39.1,34.2,,-5.7,NA,NA,2019
UAB,CUSA,33,20,106.2,105.1,0.5307,50.4,49.4,16.8,17.9,30.6,26.2,31.8,31.6,51.3,48.1,32.6,33.9,,-7.4,NA,NA,2019
UTEP,CUSA,27,8,89,100.1,0.205,45.7,49.4,22.8,19,26.7,26.7,34.7,32.9,44.3,46.6,32,36.2,,-15.5,NA,NA,2019
UTSA,CUSA,28,17,104.7,101.6,0.5851,49.5,49.5,16.4,18.1,26.1,28.4,26.2,35.6,48,50,34.3,32.5,,-8.8,NA,NA,2019
Western Kentucky,CUSA,34,20,103.9,99.5,0.6223,49.9,48.9,19.6,18.5,29.6,28.1,37.9,25.6,50.2,47,32.7,34.5,,-5.5,NA,NA,2019
Cleveland St.,Horz,32,17,105.5,100.5,0.6382,51.7,48.8,19,21,31.9,30.6,31.1,43.7,48.9,45.6,37.9,36.2,,-6.8,NA,NA,2015
Detroit,Horz,31,13,101.1,103.6,0.4304,49.7,52,19.3,21.2,29.4,29.8,32.4,48.3,46.3,53,37.9,33.7,,-10.3,NA,NA,2015
Green Bay,Horz,31,22,102.6,93.3,0.7475,49.3,46,18.5,20.8,33.3,29.4,39.3,39.8,51.8,44,28.3,33.7,,-1.1,NA,NA,2015
Illinois Chicago,Horz,32,8,99.2,109.4,0.2449,43.6,54.4,17.4,18,30.8,28.5,40,39,41.5,51.9,31.8,40.3,,-16.8,NA,NA,2015
Milwaukee,Horz,28,12,100.8,103.6,0.4226,49,51.2,20,16.5,26.9,29.5,36.2,31.6,48.6,48.6,33.2,38.6,,-9,NA,NA,2015
Oakland,Horz,31,14,109,109.2,0.495,52.3,53.5,18.4,16.1,30.1,30.5,38.1,34.6,51.7,52.8,35.5,36.5,,-7.2,NA,NA,2015
Wright St.,Horz,29,9,96.5,103.6,0.3053,49.8,51.2,19,19.8,23.2,30.8,31.5,41.2,49,50.4,34.1,35.3,,-13.7,NA,NA,2015
Youngstown St.,Horz,29,8,103.4,112,0.285,50.1,53.6,17.2,17.8,27.6,34.2,35.9,36.8,48.5,51.7,35.6,37.9,,-14.7,NA,NA,2015
Cleveland St.,Horz,30,7,90.3,101.4,0.2077,44.8,51.6,21.8,19.9,29.4,31.7,30.9,46.6,43.4,50.7,32,35.5,,-15.9,NA,NA,2016
Detroit,Horz,29,14,109.8,110.8,0.474,52,53.6,17.8,17.2,32.5,29.4,40.5,46.5,50.6,53.7,36.5,35.6,,-8.4,NA,NA,2016
Illinois Chicago,Horz,28,3,89.7,105.7,0.1308,41.5,49.3,21.1,15.7,31.9,30.7,43.2,39.6,40.3,46.6,30.4,36.4,,-19.6,NA,NA,2016
Milwaukee,Horz,31,18,111.1,106.4,0.6222,52.8,51.4,15.8,15.6,27.1,25.6,38.3,29.6,51.9,48.7,35.9,38.3,,-6.7,NA,NA,2016
Northern Kentucky,Horz,28,7,99.4,107.8,0.2828,50.3,50.2,19.7,16.1,26.5,29.4,31.2,42.6,48.6,47.9,35.3,36.8,,-14,NA,NA,2016
Oakland,Horz,35,23,114.6,106.2,0.7053,53.1,49.6,15.2,16.5,31.2,29.5,41.8,32.1,49.3,48.1,39.8,34.9,,-3.4,NA,NA,2016
Valparaiso,Horz,35,28,106.6,91.8,0.8476,50.7,44.5,19,18.5,35.2,24.8,35.1,38.7,48.3,41.5,36.5,33.9,,0.4,NA,NA,2016
Wright St.,Horz,33,20,100.4,97.3,0.5879,51.4,48.6,16.5,20.6,19.1,25.5,33,48.3,48.3,48.1,37.8,33,,-6.1,NA,NA,2016
Youngstown St.,Horz,30,9,101.6,113.3,0.2215,49,53.6,15.6,15.7,22.7,33.8,29.8,32.5,45.5,54.5,37,34.6,,-14,NA,NA,2016
Cleveland St.,Horz,30,9,94.9,102.4,0.2941,46.3,52.1,18.8,22.3,28.9,32.7,29.6,41.8,46.5,51.7,30.7,35.3,,-15.7,NA,NA,2017
Detroit,Horz,30,8,102.1,113.6,0.2272,50.9,56.9,19.5,19.4,26.9,31.4,38.1,48.4,48.4,57.3,37,37.6,,-17.1,NA,NA,2017
Green Bay,Horz,30,18,100.8,102.8,0.443,48.3,50.8,18,18.6,30.4,28.6,37.7,33.1,48.7,48.7,31.6,36.3,,-7.7,NA,NA,2017
Illinois Chicago,Horz,34,17,100.4,106.7,0.3324,50.5,48.1,22.3,16.6,32.5,31.4,38.4,32.2,47.6,45.7,37,36,,-13.3,NA,NA,2017
Milwaukee,Horz,34,11,98.9,107.8,0.2696,50.8,53.9,18.1,17.5,24.5,26.8,27.4,32.3,49.8,54.2,34.9,35.7,,-17.8,NA,NA,2017
Oakland,Horz,32,25,103.8,99.2,0.6289,51.2,46.3,18.4,18.9,29.3,29.1,37.7,28.5,51.9,45.3,33.3,32.2,,-3.6,NA,NA,2017
Valparaiso,Horz,32,24,104.5,99.9,0.6272,50.1,47.4,18.2,17.9,30.4,26.8,36.9,32.4,50.5,46.4,33,32.8,,-2,NA,NA,2017
Wright St.,Horz,30,20,105.3,105.4,0.4963,52,52,20.4,19.5,29.4,26.5,38,37.1,49.4,52,37.2,34.8,,-6.8,NA,NA,2017
Youngstown St.,Horz,32,13,101,112.8,0.2204,49.1,53,16,16.4,26.3,31.4,25.9,29.1,49,53.5,32.8,34.6,,-15.4,NA,NA,2017
Cleveland St.,Horz,34,12,97.9,109.2,0.2234,50.6,53,18.9,19.5,22.1,32.9,29.4,31.1,50.4,52.5,34,35.9,,-16.7,NA,NA,2018
Detroit,Horz,30,8,101.6,116.7,0.1696,49.1,56.7,18.2,17.2,27,31.4,31.1,37.5,48.5,54.1,33.3,40.6,,-18,NA,NA,2018
Green Bay,Horz,30,13,99.8,108,0.2863,48.6,50.9,18.6,17.8,25.6,30.9,32.3,31.4,44.7,51.7,36.2,33.1,,-14.4,NA,NA,2018
Illinois Chicago,Horz,34,20,100.2,102,0.45,50.6,46.7,20.8,17.2,28.8,30.4,35.3,34.2,49.8,45.8,34.9,32.3,,-10,NA,NA,2018
IUPUI,Horz,28,11,97.6,108,0.2375,48,54.6,20.5,21.2,31.9,29.3,32.9,37.8,45.2,55.6,35.5,35.3,,-13.5,NA,NA,2018
